id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
MC-WATER-Black-Peach-16.9fl-oz-12pk_2392,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Peach Black Tea, 16.9 fl oz","Case Size: 12 Pack",http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-16oz.jpg,http://metabolicstage.wpengine.com/shop/metabolic-elite-immunity-tea-b-activ-lyte-black-peach-16-9-fl-oz/?attribute_pa_case-size=12-pack,"Performance Beverages","Metabolic Code®",41.88USD,in stock,wc_post_id_2391,http://metabolicstage.wpengine.com/cart/?add-to-cart=2391&variation_id=2392&attribute_pa_case-size=12-pack,"http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-Vitamins-Herbs-Minerals.jpg,http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-Nutrition-Facts.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,41.88USD,new,published,,"case-size:12 Pack/24 Pack:12 Pack"
MC-WATER-Black-Peach-16.9fl-oz-24pk_2393,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Peach Black Tea, 16.9 fl oz","Case Size: 24 Pack",http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-16oz.jpg,http://metabolicstage.wpengine.com/shop/metabolic-elite-immunity-tea-b-activ-lyte-black-peach-16-9-fl-oz/?attribute_pa_case-size=24-pack,"Performance Beverages","Metabolic Code®",83.76USD,in stock,wc_post_id_2391,http://metabolicstage.wpengine.com/cart/?add-to-cart=2391&variation_id=2393&attribute_pa_case-size=24-pack,"http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-Vitamins-Herbs-Minerals.jpg,http://metabolicstage.wpengine.com/wp-content/uploads/2020/04/Metobolic-Elite_Immunity-Tea-Peach-Black-Tea-Nutrition-Facts.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,83.76USD,new,published,,"case-size:12 Pack/24 Pack:24 Pack"
MC-WATER-Moroccan-Honey-16.9fl-oz-12pk_2389,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Moroccan Honey, 16.9 fl oz","Case Size: 12 Pack",https://placeholdit.imgix.net/~text?txtsize=33&name=Metabolic%20Elite%E2%84%A2%20Immunity-Tea%3A%20B%20Activ-Lyte%E2%84%A2%2C%20Moroccan%20Honey%2C%2016.9%20fl%20oz&w=530&h=530,http://metabolicstage.wpengine.com/?post_type=product&p=2388&attribute_pa_case-size=12-pack,"Performance Beverages","Metabolic Code®",41.88USD,in stock,wc_post_id_2388,http://metabolicstage.wpengine.com/cart/?add-to-cart=2388&variation_id=2389&attribute_pa_case-size=12-pack,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,41.88USD,new,published,,"case-size:12 Pack/24 Pack:12 Pack"
MC-WATER-Moroccan-Honey-16.9fl-oz-24pk_2390,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Moroccan Honey, 16.9 fl oz","Case Size: 24 Pack",https://placeholdit.imgix.net/~text?txtsize=33&name=Metabolic%20Elite%E2%84%A2%20Immunity-Tea%3A%20B%20Activ-Lyte%E2%84%A2%2C%20Moroccan%20Honey%2C%2016.9%20fl%20oz&w=530&h=530,http://metabolicstage.wpengine.com/?post_type=product&p=2388&attribute_pa_case-size=24-pack,"Performance Beverages","Metabolic Code®",83.76USD,in stock,wc_post_id_2388,http://metabolicstage.wpengine.com/cart/?add-to-cart=2388&variation_id=2390&attribute_pa_case-size=24-pack,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,83.76USD,new,published,,"case-size:12 Pack/24 Pack:24 Pack"
MC-WATER-Cucumber-Mint-16.9fl-oz-12pk_2386,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Cucumber Mint, 16.9 fl oz","Case Size: 12 Pack",https://placeholdit.imgix.net/~text?txtsize=33&name=Metabolic%20Elite%E2%84%A2%20Immunity-Tea%3A%20B%20Activ-Lyte%E2%84%A2%2C%20Cucumber%20Mint%2C%2016.9%20fl%20oz&w=530&h=530,http://metabolicstage.wpengine.com/?post_type=product&p=2385&attribute_pa_case-size=12-pack,"Performance Beverages","Metabolic Code®",41.88USD,in stock,wc_post_id_2385,http://metabolicstage.wpengine.com/cart/?add-to-cart=2385&variation_id=2386&attribute_pa_case-size=12-pack,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,41.88USD,new,published,,"case-size:12 Pack/24 Pack:12 Pack"
MC-WATER-Cucumber-Mint-16.9fl-oz-24pk_2387,"Metabolic Elite™ Immunity-Tea: B Activ-Lyte™, Cucumber Mint, 16.9 fl oz","Case Size: 24 Pack",https://placeholdit.imgix.net/~text?txtsize=33&name=Metabolic%20Elite%E2%84%A2%20Immunity-Tea%3A%20B%20Activ-Lyte%E2%84%A2%2C%20Cucumber%20Mint%2C%2016.9%20fl%20oz&w=530&h=530,http://metabolicstage.wpengine.com/?post_type=product&p=2385&attribute_pa_case-size=24-pack,"Performance Beverages","Metabolic Code®",83.76USD,in stock,wc_post_id_2385,http://metabolicstage.wpengine.com/cart/?add-to-cart=2385&variation_id=2387&attribute_pa_case-size=24-pack,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,83.76USD,new,published,,"case-size:12 Pack/24 Pack:24 Pack"
MCTVA_2019,"TheAva","TheAva is a combination of L-theanine and Kava kava root. TheAva is used for anxiety with no food cravings and replaying events over and over.",http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/product-mc-triad2-theava-bottle.jpg,http://metabolicstage.wpengine.com/shop/theava-triad-2-60-caps/,"Metabolic Code Supplements, Supplements, TRIAD 2: Resiliency","Metabolic Code®",60.55USD,in stock,MCTVA_2019,http://metabolicstage.wpengine.com/cart/?add-to-cart=2019,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60.55USD,new,published,,
MCKD_2018,"RenoCap Forte","RenoCap Forte is composed of dietary supplements that support the kidneys and lymphatic systems, helping to improve the body’s detoxification processes. RenoCap Forte contains the diuretic and kidney supportive herbs goldenrod, shatavari and dandelion leaf. This product can be used concurrently with Phase 2.5 bile support if liver detoxification also needs support. 
 
Bottle count: 180 Veggie Capsules",http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/product-mc-triad4-renocap-forte-bottle.jpg,http://metabolicstage.wpengine.com/shop/renocap-forte-2-0-triad-4/,"Metabolic Code Supplements, Supplements, TRIAD 4: Detoxification","Metabolic Code®",48.5USD,in stock,MCKD_2018,http://metabolicstage.wpengine.com/cart/?add-to-cart=2018,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,48.5USD,new,published,,
EM2-60_2017,"EstroMetab 5","EstroMetab 2.0 is composed of dietary supplements that help with estrogen metabolism in women and in men, helping them to maintain healthy body composition. EstroMetab 2.0 contains the herb kudzu and the nutrient DIM (diindolylmethane), which both help to improve estrogen (estrone, estriol, estradiol) levels and metabolism in the body. Grape seed extract is an important antioxidant and has aromatase inhibiting properties, which helps process estrogens in men and women.",http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/product-mc-triad5-estro-metab-2-bottle.jpg,http://metabolicstage.wpengine.com/shop/estrometab-2-triad-5/,"Metabolic Code Supplements, Supplements, TRIAD 5: Potency","Metabolic Code®",30.73USD,in stock,EM2-60_2017,http://metabolicstage.wpengine.com/cart/?add-to-cart=2017,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30.73USD,new,published,,
MC-12WK-WL-001_1964,"12-Week Weight Loss Plan","Weight Loss made easy. Start Your 12-Week Metabolic Code Plan Now! Tools to Create a Personalized Program, track progress and reach goals. You Can Do It with the Metabolic Code. Learn to shop. Long Term Weight Loss. Meal Plan. 
 
Our system is specially formulated to work based on science. We help you reach goals by changing your relationship with food, sleep, exercise, and how you approach your overall health every day.",http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/12-week-weight-loss-plan-metabolic-code.jpg,http://metabolicstage.wpengine.com/shop/12-week-weight-loss-plan/,"Metabolic Code Programs","Metabolic Code®",49.99USD,in stock,MC-12WK-WL-001_1964,http://metabolicstage.wpengine.com/cart/?add-to-cart=1964,"http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/12-week-weight-loss-plan-3-metabolic-code.jpg,http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/12-week-weight-loss-plan-2-metabolic-code.jpg,http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/12-week-weight-loss-plan-4-metabolic-code.jpg,http://metabolicstage.wpengine.com/wp-content/uploads/2020/03/12-week-weight-loss-plan-5-metabolic-code.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.99USD,new,staging,,
